DISBURSEMENT : ALLOCATION Vs ACTUALS AND NO. OF BENEFICIARIES,,,,,,,,,,,,,,,,,,,,,
 ,,,(RS. IN LAKH),,,,,,,,,,,,,,,,,,
Sno.,State,2022-2023 (as on 31.03.2023),,,2023-2024 (as on 31.03.2024),,,2024-2025 (as on 31.03.2025),,,2025-2026 (as on 31.03.2026),,,2026-2027(as on 31.07.2026),,,,,,,
,,Allocation,Actuals,No.of Benef.,Allocation,Actuals,No.of Benef.,Allocation,Actuals,No.of Benef.,Allocation,Actuals,No.of Benef.,Allocation,Actuals,No.of Benef.,,,,,
,,,,,,,,,,,,,,,,,,,,,
DISBURSEMENT : ALLOCATION Vs ACTUALS AND NO. OF BENEFICIARIES,,,,,,,,,,,,,,,,,,,,,
 ,,,(RS. IN LAKH),,,,,,,,,,,,,,,,,,
Sno.,State,2017-2018 (as on 31.03.2018),,,2018-2019 (as on 31.03.2019),,,2019-2020 (as on 31.03.2020),,,2020-2021 (as on 31.03.2021),,,2021-2022 (as on 31.03.2022),,,,,,,
,,Allocation,Actuals,No.of Benef.,Allocation,Actuals,No.of Benef.,Allocation,Actuals,No.of Benef.,Allocation,Actuals,No.of Benef.,Allocation,Actuals,No.of Benef.,,,,,
1,Andaman & Nikobar,0,1.55,1,0,0,0,0,0,0,0,0,0,0,0.82,1,,,,,
2,Andhra Pradesh,2920.89,3510.69,2030,2920.89,21085.4,14485,3129.54,12908.25,5355,8472,137.56,102,3547,2278.59,4007,,,,,
3,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,1.84,2,,,,,
4,Assam,1030.93,222.11,104,1030.93,78.39,87,1104.57,12.67,10,354,23.79,28,1252,4,4,,,,,
5,Bihar,5729.92,1853.23,3328,5729.92,114.48,122,6139.2,84.45,98,708,57.72,96,6958,44.77,44,,,,,
6,Chandigarh,68.86,31.17,6,68.86,35.63,106,73.78,0.92,1,6,30.23,74,84,2.54,4,,,,,
7,Chhattisgarh,1132.42,1142.69,365,1132.42,806.68,347,1213.32,31.12,29,1056,187.21,224,1375,186.09,196,,,,,
8,"Dadra N.Haweli,D&Diu",4.26,12.36,5,4.26,0,0,4.56,0,0,0,0,0,6,4.99,2,,,,,
9,Delhi,972.66,300.77,123,972.66,421.96,265,1042.14,213.49,84,234,180.02,49,1179,159.8,185,,,,,
10,Goa,8.8,10.94,2,8.8,3.4,1,9.43,9.52,3,6,11.19,3,11,0.76,2,,,,,
11,Gujarat,1409.18,1968.86,695,1409.18,3268.19,700,1509.83,4384.94,4126,2358,1679.34,728,1711,235.52,202,,,,,
12,Haryana,1768.58,541.86,326,1768.58,789.68,597,1894.91,594.7,316,1410,482.28,937,2148,1559.62,1216,,,,,
13,Himachal Pradesh,598.08,92.48,36,598.08,39.17,62,640.8,1179.63,2159,540,426.75,282,726,29.38,15,,,,,
14,Jammu & Kashmir,319.92,775.4,358,319.92,992.88,235,342.76,514.3,176,564,270,100,388,1712.06,794,,,,,
15,Jharkhand,1378.46,688.17,1179,1378.46,21.75,23,1476.92,38.87,48,354,33.53,45,1674,0.37,1,,,,,
16,Karnataka,3622.85,1409.13,716,3622.85,6732.13,5827,3881.62,7290.45,7952,3588,6807.52,5540,4399,6573.45,4353,,,,,
17,Kerala,1051.26,1861.94,1160,1051.26,2065.63,1492,1126.34,2758.85,1772,2076,4266.01,3166,1277.02,4395.66,3079,,,,,
18,Ladakh,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,
19,Lakshdweep,0,0,0,0,0.36,1,0,0,0,0,0,0,0,0.46,1,,,,,
20,Madhya Pradesh,3922.82,3179.54,4754,3922.82,2217.63,3377,4203.02,982.19,922,2826,1507.01,1661,4763,2126.34,1883,,,,,
21,Maharashtra,4591.56,6037.52,2952,4591.56,157.87,174,4919.53,1080.67,761,5004,1185.61,1428,5575.02,7152.1,3277,,,,,
22,Manipur,44.84,2.8,1,44.84,0,0,48.03,0,0,24,12.08,9,53.98,1.05,1,,,,,
23,Meghalaya,8,0,0,8,4.86,6,8.58,0,0,0,0,0,10,0,0,,,,,
24,Mizoram,0.56,0,0,0.56,0,0,0.6,0,0,0,0.31,1,0.98,0,0,,,,,
25,Nagaland,0,0,0,0,0,0,0,0,0,0,5.42,2,0,1.28,1,,,,,
26,Odisha,2486.18,392.3,269,2486.18,312.75,277,2663.76,224.55,277,228,260.48,279,3019,391.29,384,,,,,
27,Puducherry,67.91,1.63,3,67.91,0,0,72.75,337.23,635,60,228.18,434,82,77.42,80,,,,,
28,Punjab,3064.35,3368.45,2410,3064.35,3719.58,3295,3283.24,3362.44,3518,2094,1640.38,1488,3721,3783.71,2907,,,,,
29,Rajasthan,4226.92,3050.35,3192,4226.92,573.5,695,4528.85,7556.47,6129,4236,5283.1,7931,5133,68.3,84,,,,,
30,Sikkim,13.06,115.15,48,13.06,37.18,11,14,63,30,60,99,40,16,103.13,43,,,,,
31,Tamil Nadu,4993.64,8770.68,14934,4993.64,340.31,346,5350.32,11562.17,12079,6822,6008.03,3595,6064,12929.2,13824,,,,,
32,Telangana,1878.93,712.21,280,1878.93,1084.2,841,2013.14,155.9,228,2196,1256.07,2485,2282,272.65,415,,,,,
33,Tripura,302.59,6223.06,9144,302.59,1048.71,228,324.2,1222.78,1253,1134,3229.34,730,367,2465.66,2798,,,,,
34,Uttar Pradesh,14303.81,7408.87,12117,14303.81,17337.12,17294,15325.52,8407.89,10407,8826,12343.54,8922,17368,4101.21,3967,,,,,
35,Uttarakhand,654.54,287.55,229,654.54,137.97,138,701.29,174.57,286,174,0.34,2,795,171.43,111,,,,,
36,West Bengal,7423.22,6114.97,47573,7423.22,3693.86,30399,7953.45,2998.37,25316,4590,7171.08,53621,9014,6365.32,32336,,,,,
,,,,,,,,,,,,,,,,,,,,,
