DISBURSEMENT : NOTIONAL ALLOCATION Vs ACTUALS FOR 2022-23 to 2026-27,,,,,,,,,,,,,,,,,,,
,,(RS. IN LAKH),,,,,,,,,,,,,,,,,
Srno.,State,2022-2023 (as on 31.03.23),,,2023-2024 (as on 31.03.24),,,2024-2025 (as on 31.03.25),,,2025-2026 (as on 31.03.26),,,2026-2027 (as on 31.07.26),,,,,
,,ALLOCATION,ACTUALS,%AGE,ALLOCATION,ACTUALS,%AGE,ALLOCATION,ACTUALS,%AGE,ALLOCATION,ACTUALS,%AGE,ALLOCATION,ACTUALS,%AGE,,,
6,Chandigarh,68.86,31.17,45.265756607609646,68.86,35.63,51.7426662794075,73.78,0.92,1.24695039306045,6,30.23,503.8333333333333,84,2.54,3.0238095238095237,,,
7,Chhattisgarh,1132.42,1142.69,100.9069073312022,1132.42,806.68,71.2350541318592,1213.32,31.12,2.5648633501467053,1056,187.21,17.728219696969695,1375,186.09,13.533818181818184,,,
8,"Dadra N.Haweli,D&Diu",4.26,12.36,290.14084507042253,4.26,0,0,4.56,0,0,0,0,0,6,4.99,83.16666666666667,,,
9,Delhi,972.66,300.77,30.92241893364588,972.66,421.96,43.38206567557009,1042.14,213.49,20.485731283704684,234,180.02,76.93162393162393,1179,159.8,13.553859202714166,,,
10,Goa,8.8,10.94,124.3181818181818,8.8,3.4,38.63636363636363,9.43,9.52,100.95440084835631,6,11.19,186.5,11,0.76,6.909090909090909,,,
11,Gujarat,1409.18,1968.86,139.71671468513603,1409.18,3268.19,231.9214010985112,1509.83,4384.94,290.4260744587139,2358,1679.34,71.21882951653944,1711,235.52,13.765049678550556,,,
12,Haryana,1768.58,541.86,30.638139072023883,1768.58,789.68,44.65051057910866,1894.91,594.7,31.38407628858363,1410,482.28,34.204255319148935,2148,1559.62,72.60800744878956,,,
13,Himachal Pradesh,598.08,92.48,15.462814339218834,598.08,39.17,6.549291064740503,640.8,1179.63,184.08707865168543,540,426.75,79.02777777777777,726,29.38,4.046831955922865,,,
14,Jammu & Kashmir,319.92,775.4,242.37309327331832,319.92,992.88,310.3525881470367,342.76,514.3,150.04667989263623,564,270,47.87234042553192,388,1712.06,441.2525773195876,,,
15,Jharkhand,1378.46,688.17,49.92310259274843,1378.46,21.75,1.5778477431336417,1476.92,38.87,2.6318283996424987,354,33.53,9.471751412429379,1674,0.37,0.02210274790919952,,,
16,Karnataka,3622.85,1409.13,38.895620850987484,3622.85,6732.13,185.82414397504726,3881.62,7290.45,187.8197762789763,3588,6807.52,189.73021181716837,4399,6573.45,149.4305523982723,,,
17,Kerala,1051.26,1861.94,177.11508095047847,1051.26,2065.63,196.49087761353044,1126.34,2758.85,244.93936111653673,2076,4266.01,205.4918111753372,1277.02,4395.66,344.2123067767145,,,
18,Ladakh,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,
19,Lakshdweep,0,0,0,0,0.36,0,0,0,0,0,0,0,0,0.46,0,,,
20,Madhya Pradesh,3922.82,3179.54,81.05240617718886,3922.82,2217.63,56.53152579012038,4203.02,982.19,23.368673001793947,2826,1507.01,53.326610049539994,4763,2126.34,44.64287213940794,,,
21,Maharashtra,4591.56,6037.52,131.49169345494778,4591.56,157.87,3.438264990547875,4919.53,1080.67,21.96693586582458,5004,1185.61,23.693245403677057,5575.02,7152.1,128.2883290104789,,,
22,Manipur,44.84,2.8,6.244424620874218,44.84,0,0,48.03,0,0,24,12.08,50.33333333333333,53.98,1.05,1.9451648758799556,,,
23,Meghalaya,8,0,0,8,4.86,60.75000000000001,8.58,0,0,0,0,0,10,0,0,,,
24,Mizoram,0.56,0,0,0.56,0,0,0.6,0,0,0,0.31,0,0.98,0,0,,,
25,Nagaland,0,0,0,0,0,0,0,0,0,0,5.42,0,0,1.28,0,,,
26,Odisha,2486.18,392.3,15.779227570007,2486.18,312.75,12.579539695436374,2663.76,224.55,8.429813496711414,228,260.48,114.24561403508773,3019,391.29,12.960914210003313,,,
27,Puducherry,67.91,1.63,2.4002356059490504,67.91,0,0,72.75,337.23,463.54639175257734,60,228.18,380.3,82,77.42,94.41463414634147,,,
28,Punjab,3064.35,3368.45,109.92380113237716,3064.35,3719.58,121.38234862205688,3283.24,3362.44,102.41225131272769,2094,1640.38,78.33715377268386,3721,3783.71,101.68529965063155,,,
29,Rajasthan,4226.92,3050.35,72.16483870051952,4226.92,573.5,13.567798775467715,4528.85,7556.47,166.8518498073462,4236,5283.1,124.71907459867802,5133,68.3,1.3306058834989285,,,
30,Sikkim,13.06,115.15,881.6998468606432,13.06,37.18,284.6860643185298,14,63,450,60,99,165,16,103.13,644.5625,,,
31,Tamil Nadu,4993.64,8770.68,175.63701027707245,4993.64,340.31,6.814868512748215,5350.32,11562.17,216.10240135169488,6822,6008.03,88.06845499853415,6064,12929.2,213.21240105540898,,,
32,Telangana,1878.93,712.21,37.905084276689394,1878.93,1084.2,57.70305439798184,2013.14,155.9,7.744121124213914,2196,1256.07,57.19808743169399,2282,272.65,11.947852760736195,,,
33,Tripura,302.59,6223.06,2056.5980369476856,302.59,1048.71,346.57787765623453,324.2,1222.78,377.16841455891426,1134,3229.34,284.7742504409171,367,2465.66,671.841961852861,,,
34,Uttar Pradesh,14303.81,7408.87,51.796479399544594,14303.81,17337.12,121.20630796969478,15325.52,8407.89,54.862020995046166,8826,12343.54,139.85429413097668,17368,4101.21,23.61359972362966,,,
35,Uttarakhand,654.54,287.55,43.931616096800816,654.54,137.97,21.078925657713814,701.29,174.57,24.892697742731254,174,0.34,0.19540229885057475,795,171.43,21.563522012578616,,,
36,West Bengal,7423.22,6114.97,82.37624642675281,7423.22,3693.86,49.76088543785581,7953.45,2998.37,37.69898597463994,4590,7171.08,156.2326797385621,9014,6365.32,70.61593077435101,,,
,,,,,,,,,,,,,,,,,,,
,Total,69999.99999999999,60086.880000000005,85.83840000000002,69999.99999999999,67121.26999999999,95.88752857142858,74999.99999999997,68150.39,90.8671866666667,60000,54823.12,91.37186666666666,85000,57200.810000000005,67.29507058823529,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
DISBURSEMENT : NOTIONAL ALLOCATION  Vs ACTUALS FOR 12th FIVE YEAR PLAN i.e. 2012-13 TO 2016-17,,,,,,,,,,,,,,,,,,,
,,,,,,(Rs. in Lakh),,,,,,,,(Rs. in Lakh),,,,,
,, 2012-2013,,2013-2014,,2014-2015,,2015-2016,,2016-2017,,Total,,%age of Allocation Availed,%age of SCs Population,,,,
Srno.,State,(as on 31.03.2013),,(as on 31.03.2014),,(as on 31.03.2015),,(as on 31.03.2016),,(as on 31.03.2017),,(2012-13 to 2016-17),,,,,,,
,,Allocation,Actuals,Allocation,Actuals,Allocation,Actuals,Allocation,Actuals,Allocation,Actuals,Allocation,Actuals,,,,,,
,,,,,,,,,,,,,,,,,,,
,,1459.1,0,1775.9,449.33,111.32,0,1314.4,2504.36,1848.51,7012.3,4660.72,2953.69,63.374113870818235,7.41,,,,
1,Andhra Pradesh,1,0,1.2,0,0,0,0,0,0,0,2.2,0,0,0,,,,
2,Arunachal Pradesh,292.63,0,356.19,45,397.65,198,463.92,42.19,652.43,114.41,1510.3899999999999,285.19,18.881878190401157,1.1,,,,
3,Assam,1542.56,0,1877.47,1980,2209.41,4080,2578.47,2881.36,3626.22,2455.99,8207.91,8941.36,108.93589232825408,7.83,,,,
4,Bihar,19.37,20.31,23.55,34.32,26.47,22.02,30.99,30,43.58,53.02,100.38,106.64999999999999,106.24626419605498,0.09,,,,
5,Chandigarh,285.21,692.84,347.09,40.24,436.59,575.79,509.6,656.54,716.67,1802.58,1578.4899999999998,1965.4099999999999,124.51203365241466,1.45,,,,
6,Chhattisgarh,1.92,0,2.31,0,2.38,0,1.91,0,2.7,0,8.52,0,0,0.01,,,,
7,"Dadra N.Haweli,D&Diu",277.47,493.3,337.64,450,375.99,0,437.7,180.86,615.56,127.82,1428.8,1124.1599999999999,78.67861142217244,1.41,,,,
8,Delhi,1.93,49.47,2.37,4.39,2.64,7.47,3.97,6.09,5.57,6.75,10.91,67.42,617.9651695692025,0.01,,,,
9,Goa,424.9,4384.17,517.15,3135.15,542.43,2107.62,634.13,2259.47,891.8,4467.19,2118.61,11886.409999999998,561.047573644984,2.16,,,,
10,Gujrat,482.81,306.75,588.01,433.12,682.67,95.8,795.87,1223.96,1119.26,249.68,2549.3599999999997,2059.63,80.79008064769198,2.46,,,,
11,Haryana,178.51,224.54,217.21,143.94,230.2,172.76,269.13,128.02,378.5,138.97,895.0500000000001,669.26,74.77347634210378,0.9,,,,
12,Himachal Pradesh,91.2,2.64,110.96,870.51,124.37,35.79,143.97,782.44,202.47,6.2,470.5,1691.38,359.4856535600425,0.46,,,,
13,Jammu & Kashmir,376.33,0,458.09,450,531.84,0,620.3,953.34,872.37,6.23,1986.56,1403.3400000000001,70.64171230670104,1.91,,,,
14,Jharkhand,1012.8,4899.3,1232.78,3410.3,1397.09,7185.71,1630.28,3153.4,2292.74,5807.18,5272.95,18648.710000000003,353.6674916318191,5.14,,,,
15,Karnataka,368.61,791.08,448.67,657.43,404.83,1120.7,473.07,4366.04,665.3,1788.49,1695.1799999999998,6935.25,409.11584610483845,1.87,,,,
16,Kerala,1082.68,0,1317.81,239.4,1516.16,0,1765.27,39.21,2482.59,92.15,5681.92,278.61,4.903448130209507,5.49,,,,
17,Madhya Pradesh,1167.99,2779.88,1421.7,2981.55,1770.17,4563.82,2066.2,992.86,2905.8,65.07,6426.06,11318.11,176.128296343327,5.93,,,,
18,Maharashtra,7.12,98.55,8.68,200,17.28,39.6,20.18,100,28.37,100,53.26,438.15000000000003,822.6624108148706,0.03,,,,
19,Manipur,1.78,0,2.17,0,3.07,0,3.57,0,5.03,0,10.59,0,0,0.01,,,,
20,Meghalaya,0.03,0,0.06,0,0.22,0,0.26,0,0.36,0,0.5700000000000001,0,0,0,,,,
21,Mizoram,719.82,0,876.15,95.4,957.86,0,1118.78,46.51,1573.4,83.18,3672.6099999999997,141.91,3.8640095191158332,3.65,,,,
22,Orissa,19.37,0,23.55,18,26.47,0,30.56,0,42.97,45,99.95,18,18.009004502251123,0.09,,,,
23,Pondicherry,830.37,444.68,1010.77,904.28,1182.77,3.56,1378.97,4.32,1939.3,2131.08,4402.88,1356.84,30.81710153354168,4.22,,,,
24,Punjab,1146.72,1248.21,1395.74,1465.35,1629.93,1814.72,1902.11,1346.81,2675.03,2390.75,6074.5,5875.09,96.71726067989135,5.82,,,,
25,Rajasthan,4.37,102,5.3,54.7,5.02,96.85,5.88,110.4,8.27,87.9,20.57,363.95,1769.3242586290714,0.02,,,,
26,Sikkim,1400.87,0,1705.06,167.76,1926.29,10.57,2247.13,11.58,3160.26,7170.53,7279.349999999999,189.91,2.60888678247371,7.12,,,,
27,Tamilnadu,0,0,0,0,740.88,0,845.52,1893.4,1189.1,3584.43,1586.4,1893.4,119.35199193141703,0,,,,
28,Tripura,89.07,278.53,108.4,860.69,116.75,1022.57,136.17,2226.75,191.5,3366.06,450.39,4388.54,974.3866426874487,0.33,,,,
29,Uttar Pradesh,4154.13,0,5056.3,1800,5516.91,1581.75,6436.71,7884.47,9052.27,221.67,21164.05,11266.220000000001,53.23281697028689,21.09,,,,
30,Uttaranchal,178.47,126.91,217.2,408.1,251.37,50.66,294.54,712.35,414.23,5.28,941.5799999999999,1298.02,137.8555194460375,0.91,,,,
31,West Bengal,2180.86,3212.1,2654.52,3215.46,2862.97,2240.86,3340.44,3357.74,4697.84,4518.04,11038.79,12026.16,108.94454917613253,11.07,,,,
,,,,,,,,,,,,,,,,,,,
,Total,19800.000000000007,20155.259999999995,24100,24514.419999999995,26000,27026.620000000003,31500,37894.47,44300,47897.950000000004,101400,109590.76999999999,108.07768244575935,99.99000000000001,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
DISBURSEMENT : NOTIONAL ALLOCATION   Vs ACTUALS FOR 11th FIVE YEAR PLAN i.e. 2007-08 TO 2011-12,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,(Rs. in Lakh),,,,,
Srno.,State, 2007-2008,,2008-2009,,2009-2010,,2010-2011,,2011-2012,,Total,,%age of Allocation Availed,%age of SCs Population,,,,
,,,,,,,, ,,(as on 31.03.2012),,(2007-08 to 2011-12),,,,,,,
,,Allocation,Actuals,Allocation,Actuals,Allocation,Actuals,Allocation,Actuals,Allocation,Actuals,Allocation,Actuals,,,,,,
,,,,,,,,,,,,,,,,,,,
1,Andhra Pradesh,1129.27,880.83,1068.2,0,1105.03,0,1142.22,0,1238.03,0,5682.75,880.83,15.500065989177775,7.41,,,,
2,Arunachal Pradesh,0.76,0,0.72,0,0.76,0,0.77,0,0.83,0,3.8400000000000003,0,0,0,,,,
3,Assam,226.56,0,214.31,0,221.69,0,229.08,0,248.29,0,1139.93,0,0,1.1,,,,
4,Bihar,1194.17,0,1129.59,0,1168.54,167.64,1207.54,32,1308.82,0,6008.66,199.64,3.322537803769892,7.83,,,,
5,Chandigarh,14.42,15.76,13.64,20.22,14.11,13.2,15.13,36.11,16.41,36.83,73.71000000000001,122.11999999999999,165.67629900963232,0.09,,,,
6,Chhattisgarh,221.35,505.05,209.39,354.65,216.6,687,223.23,635.7,241.95,1151.16,1112.52,3333.5600000000004,299.64045590191637,1.45,,,,
7,"Dadra N.Haweli,D&Diu",0.81,0,0.77,0,0.8,0,1.56,0,1.58,0,5.52,0,0,0.01,,,,
8,Delhi,214.44,302.5,202.85,337.5,209.83,145.75,217.17,401.2,235.37,170,1079.6599999999999,1356.95,125.68308541577906,1.41,,,,
9,Goa,2.18,3.2,2.06,0,2.13,7.83,1.46,5.36,1.64,11.75,9.47,28.14,297.14889123548045,0.01,,,,
10,Gujrat,328.79,1501.42,311.01,1558.65,321.74,1148.63,332.6,2671.65,360.5,2391.56,1654.6399999999999,9271.91,560.3581443697723,2.16,,,,
11,Haryana,374.41,510.47,354.16,291.93,366.37,601.3,378.16,99.64,409.9,213.95,1883,1717.2900000000002,91.19968135953268,2.46,,,,
12,Himachal Pradesh,137.47,287.87,130.04,336.8,134.53,133.26,139.68,218.63,151.4,347.51,693.12,1324.0700000000002,191.03041320406282,0.9,,,,
13,Jammu & Kashmir,70.48,226.25,66.67,376.8,68.97,279.14,71.33,373.2,77.31,731.31,354.76,1986.6999999999998,560.0124027511557,0.46,,,,
14,Jharkhand,291.88,500.7,276.09,357.98,285.61,224.8,294.62,288.85,319.33,0,1467.53,1372.33,93.5129094464849,1.91,,,,
15,Karnataka,783.74,1197.95,741.36,1671.91,766.93,2397.1,792.85,2741.11,859.35,4816.16,3944.2299999999996,12824.23,325.1390005146759,5.14,,,,
16,Kerala,285.9,388.73,270.43,291.3,279.77,422.62,288.55,453.19,312.73,601.19,1437.3799999999999,2157.03,150.06678818405712,1.87,,,,
17,Madhya Pradesh,837.86,1813.8,792.54,2534.65,819.87,0,847.54,0,918.62,0,4216.43,4348.45,103.13108482768595,5.49,,,,
18,Maharashtra,904.34,2250.07,855.43,3576.98,884.93,4567.17,914.38,5213.48,991.06,1147.86,4550.139999999999,16755.56,368.2427353883618,5.93,,,,
19,Manipur,5.52,0,5.23,0,5.4,0,5.58,0,6.06,0,27.789999999999996,0,0,0.03,,,,
20,Meghalaya,1.18,0,1.31,0,1.36,0,1.4,0,1.51,0,6.76,0,0,0.01,,,,
21,Mizoram,0.23,0,0.02,0,0.03,0,0.04,0,0.05,0,0.37,0,0,0,,,,
22,Orissa,556.61,0,526.51,299.17,544.67,19.8,563.49,0,610.74,0,2802.0199999999995,318.97,11.383573279277096,3.65,,,,
23,Pondicherry,14.43,318.3,13.66,0,14.13,189.68,15.03,0,16.41,0,73.66,507.98,689.6280206353516,0.09,,,,
24,Punjab,643.25,357.5,608.46,473.87,629.43,332.9,650.07,326.38,704.6,400.27,3235.81,1890.92,58.437300088694954,4.22,,,,
25,Rajasthan,887.2,484.03,839.23,884.82,868.17,660.58,897.67,929.38,972.96,2300.42,4465.23,5259.23,117.7818387854601,5.82,,,,
26,Sikkim,3.37,20.32,3.18,82.73,3.29,37.89,3.41,119.16,3.69,210.26,16.94,470.36,2776.6233766233763,0.02,,,,
27,Tamilnadu,1085.17,1602.23,1026.48,0,1061.87,175,1096.67,559.72,1188.63,0,5458.820000000001,2336.95,42.810534144741894,7.12,,,,
28,Tripura,68.96,70.1,65.23,208.89,67.47,500.54,69.72,329.31,75.57,629.16,346.95,1738,500.9367343997694,0.33,,,,
29,Uttar Pradesh,3216.68,0,3042.71,0,3147.63,0,3252.07,0,3524.81,0,16183.9,0,0,21.09,,,,
30,Uttaranchal,138.85,0,131.33,0,135.87,0,139.68,0,151.36,108.45,697.09,108.45,15.557532025993773,0.91,,,,
31,West Bengal,1688.72,1079.94,1597.39,874.56,1652.47,2407.35,1707.3,2575.3,1850.49,3009.53,8496.37,9946.68,117.06976038002111,11.07,,,,
,,,,,,,,,,,,,,,,,,,
,Total,15329,14317.02,14499.999999999998,14533.41,15000,15119.18,15499.999999999998,18009.369999999995,16800,18277.370000000003,77128.99999999999,80256.35,104.05470056658328,99.99000000000001,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,, ,,,,,,,,,,
